asian_number,rating,review
,4.0 out of 5 stars,I have read many books on this topic. This one is by far the best. It mathematic explanation is easy to follow.
,5.0 out of 5 stars,"Really good book. Very solid statistical introduction, which is also necessary for understanding ML."
,5.0 out of 5 stars,Outstanding comprehensive text.  It is unfortunate that Matlab is the main tool because that software is very expensive.  It would be very helpful if a suite of Python code were available.
,4.0 out of 5 stars,This book is packed with information about machine learning from decision trees to deep learning.
,4.0 out of 5 stars,Damaged pages as on the pic from pages 209-231. It's readable though.
,5.0 out of 5 stars,Great read with straight forward explainantion
,3.0 out of 5 stars,It was okay. I thought it would have more information.
,2.0 out of 5 stars,"The book has history accounts but I was looking for a more tutorial based book.  I've read 3/4 of the book but at this point I would not buy it again.  I should have read the reviews.  I bought it on the ""For Dummies"" brand name so I'm disappointed."
,3.0 out of 5 stars,Good primer. I was expecting more on deep learning however good
,1.0 out of 5 stars,"If you are totally new to machine learning and looking to see how it actually works, step by step, this is not the book to get.  It is by no means a beginners book but more of an intermediate reference book.  Concept explanations are concise and written with an expectation of former knowledge.  No computer programs or pseudo-code for any algorithms are given, only snippets of code. And the organization of the book is fairly scattered, eg. the authors start talking about optimization methods before they ever get down to explaining basic learning algorithms (which they never really, fully explain anyway).If you are already familiar with machine learning, ""Python"", ""R"", etc., this may be a good reference book, but it falls very short for a beginners book.IMHOJerry K."
,3.0 out of 5 stars,for someone with a math background the book is very long winded
,5.0 out of 5 stars,Still working through it but so far it has been very good.
,5.0 out of 5 stars,thanks!!
,4.0 out of 5 stars,Overall the book is good but packaging needs to improve..
,5.0 out of 5 stars,"Not helpful for me. there's is lots of E-book is there online, which far better than this book."
,5.0 out of 5 stars,"Become Ai guru, It covered all from basic to depth."
,5.0 out of 5 stars,The bible of modern artificial intelligence. A must have as a reference and for a deep insight into pretty much every main topic currently prevailing in the field of AI.
,2.0 out of 5 stars,Damaged yet awsome book
,5.0 out of 5 stars,Jus started learning from it! Very useful textbook
,3.0 out of 5 stars,"Nice book, tried to touch all AI stuff but not exhaustive"
,4.0 out of 5 stars,A guideline for beginners Book 📚......
,2.0 out of 5 stars,The content of the book is good. But the paper quality is ridiculous. Pages keep coming out of the binding time and again.
,5.0 out of 5 stars,It's good
,5.0 out of 5 stars,One of the best
,5.0 out of 5 stars,"Anspruchsvolles Informatik-Fachbuch für Kenner, das dem Beschenkten offensichlich sehr gut gefallen hat! Ich selbst kann aber nichts zum Inhalt sagen."
,5.0 out of 5 stars,Topics are explained in very simple language
,5.0 out of 5 stars,Purchase this if you have basic knowledge on python..
,5.0 out of 5 stars,"Good quality pages, nicely packed."
,5.0 out of 5 stars,Good detailed book on ml
,5.0 out of 5 stars,Great one
,5.0 out of 5 stars,This is the best book I ever seen for ML and DL
,5.0 out of 5 stars,The best
,4.0 out of 5 stars,This is gives you good understanding of ML
,5.0 out of 5 stars,
,5.0 out of 5 stars,"dieses buch ist sehr gut, damit kann man Machine Learning leicht studieren.der Autor ist auch gut, und er hat eine paar video Tutorials, die kann man kostenlos anschauen."
,5.0 out of 5 stars,"I recently had to quickly understand some facts about the probabilistic interpretation of pca. Naturally I picked up this book and it didn't disappoint. Bishop is absolutely clear, and an excellent writer as well.In my opinion, despite the recent publication of Kevin Murphy's very comprehensive ML book, Bishop is still a better read. This is mostly because of his incredible clarity, but the book has other virtues: best in class diagrams, judiciously chosen; a lot of material, very well organized; excellent stage setting (the first two chapters). Now, sometimes he's a bit cryptic, for example, the proof that various kinds of loss lead to conditional median or mode is left as an exercise (ex 1.27). Murphy actually discusses it in some detail. This is true in general: Murphy actually discusses many things that Bishop leaves to the reader. I thought chapters three and four could have been more detailed, but I really have no other complaints.Please note that in order to get an optimal amount out of reading this book you should already have a little background in linear algebra, probability, calculus, and preferably some statistics. The first time I approached it was without any background and I found it a bit unfriendly and difficult; this is no fault of the book, however. Still, you don't need that much, just the basics.Update: I should note that there are some puzzling omissions from this book. E.g. f-score & confusion matrices are not mentioned (see Murphy section 5.7.2) - it would have been very natural to mention these concepts in ch 1, along with decision theory. Nor is there much on clustering, except for K-means (see Murphy ch 25). Not a huge deal, it's easy to get these concepts from elsewhere. I recommend using Murphy as and when you need, to fill in gaps.One more update: I've been getting into Hastie et al's ESL recently, and I'm really impressed with it so far - I think the practitioner should probably get familiar with both ESL and PRML, as they have complementary strengths and weaknesses. ESL is not very Bayesian at all; PRML is relentlessly so. ESL does not use graphical models or latent variables as a unifying perspective; PRML does. ESL is better on frequentist model selection, including cross-validation (ch 7). I think PRML is better for graphical models, Bayesian methods, and latent variables (which correspond to chs 8-13) and ESL better on linear models and density based methods (and other stuff besides). Finally, ESL is way better on ""local"" models, like kernel regression & loess. Your mileage may vary...They are both excellent books. ESL seems a bit more mathematically dense than PRML, and is also better for people who are in industry as versus academia (I was in the latter but now in the former),"
,1.0 out of 5 stars,"In general, most of the topics  are not clearly explained, the chapters are not self-contained. In addition, most of the problems at the end of the chapters, consist in completing the steps between the book's equations, which I think is not very didactic, since it's just completing a bit of algebra. There are very few problems that really put you to think."
,5.0 out of 5 stars,"everything went well, quality, shipping, seller, book. but could you please, amazon, get over with that twenty - word - thing? it pisses me off"
,5.0 out of 5 stars,Good
,5.0 out of 5 stars,An excellent book for beginners in ML.
,3.0 out of 5 stars,"I have tried loving this book but I think it would be best as an accompaniment to lectures or other textbooks. Simply put, It is not self-contained. It is not welcoming whatsoever to newcomers, even those with mathematical competency. The problems are challenging at different levels. I like the 3-star problems but some of the hints are confusing, in my opinion. I've made it through four chapters so far and I can say the people who probably benefit the most from this book are people who have previously learned the material or who perhaps use it on a regular basis.One strong point are the color figures. I will say, those are very helpful. But they don't quite make up for the terse prose and large conceptual jumps. I also find it strange that sometimes simply algebraic steps are explained while other much more complex ideas are glossed over. Anyway, 3 stars."
,3.0 out of 5 stars,"Overall, I like the book and would recommend it. But the exposition could use significant polishing.Pros:- not mathematically heavy; lots of good heuristics that capture the math without delving too far in- choice of topics and their discussion (e.g. a great place to learn about kernel methods and graphical models)- easy to get hooked on if you mind the gapsCons:- read below...While the exposition is spotty (compare e.g. with Feller or Gelman), the author manages to follow a mostly linear exposition on fascinating topics.The book would highly benefit from editing provided by someone with a solid math background. In particular, there are more good mistakes than bad mistakes... Often when speaking with people with more stats background than me, the conversation is isomorphic to:Me: ""...therefore, this statement is wrong. I think what he meant was...""Bro: ""Ah yes. But you get it, that's what he meant""Me: ""Then why didn't he write it?""But at least dialogues like these help cement ideas...Please correct me if any of the following contentions are wrong (I may update as I continue to read):Some parts are not even wrong, for example:Sec 2.1, paragraph above Eq. 2.19""We see that this sequential approach to learning arises naturally when we adopt a Bayesian viewpoint. It is independent of the choice of prior and of the likelihood functions and depends only on the assumption of i.i.d data""First, if you follow the thread of this section and therefore go back to the contrived coin-flipping example, you would see that in the non-Bayesian point of view estimates are also updated in a sequence of experiments. Hence, a Bayesian point of view in this case is no more ""natural"" than a frequentist. Second, by definition of i.i.d., a single fixed distribution is postulated to exist, and therefore a prior is in fact chosen: how do you define a posterior without a prior? But ok, I think I get it: a sequential approach fits in nicely with the Bayesian point of view - I agree, and that's all that needs to be said.Mathematically wrong:Same section, following 2.3.5, the statement(s) following Eq. (2.20)""Note that in the limit of an infinitely large data set m, l -> infinity the result (2.20) reduces to the maximum likelihood (2.8).""First, if F is a function of x, then the resulting limit for x to infinity must not involve x. Plus, the order and/or direction of his m and l in the limit is ambiguous. Second, what he meant to say is that for m and l both sufficiently large compared with a and b, we get that (2.20) reduces to (2.8).3rd paragraph before 2.2:""For a finite data set, the posterior mean for mu always lies between the prior mean and the maximum likelihood estimate for mu corresponding to the relative frequencies of events given by (2.7).""Again we are told to forget that the choice of a prior makes a difference. It seems the above statement is false: we may choose a prior that is heavily weighted on a single point so that this prior's mean is greater than mle.Paragraphs directly above the beginning of 2.2:""In fact, we might wonder whether it is a general property of Bayesian learning that, as we observe more and more data, the uncertainty represented by the posterior distribution will steadily decrease..."" and then"" this result shows that, on average, the posterior variance of theta is smaller than the prior variance.""The ""result"", i.e. Eq (2.24) is an assertion of the form: ""Suppose a,b, c > 0, c is fixed, and c = a +b. Then, if b goes up, a must go down."" I don't see how this relates to what seemed to be his premise that increasing the size of a data set (sequentially or not) has the seemingly desired effect of reducing posterior variance. I suspect there are in fact limiting results in special cases that show the desired ""steady"" reduction in posterior variance...I wish he would have referenced themSection 2.3, following Eq. 2.44""... we note that the matrix \Sigma can be taken to be symmetric...""Actually, by definition any covariance matrix *is* symmetric.I could go on...All this said, it's worth repeating:I like the book, and not only because its mistakes or sometimes shady logic encourage the interested reader to try and discover correct/less wrong statements."
,4.0 out of 5 stars,"While the book tries to explain things as best as it could, you certainly need a stable level of statistics and linear algebra. Not anything you can't understand if you've done second year undergrad linear algebra/stats (and here I am only with first year linalg and second year stats background). So certainly not something to be taken up if you want to start things quickI'm not sure about the exercises since I have never tried it yet. Though one thing lacking is probably the range of examples given by the book. While it tries to draw some things from intuition, with the lack of examples it can still get hard to understand some points in the book. At the same time some parts feels a bit too wordy.Overall still a satisfying book to have, especially if you use it as course material"
,4.0 out of 5 stars,"A very in-depth book on the topic. I used this book for my graduate level Machine Learning and Bayesian Methods courses. The book assumes solid math or other quantitative backgrounds from readers, as it jumps right into advanced calculus, linear algebra and optimization without much explanation. It pretty much expects you to derive the intermediate steps yourself or read the details from the original paper. I would only recommend it to people studying or doing research in theoretical machine learning."
,1.0 out of 5 stars,"Don't know why, but this book looks like author had set himself the target to play a charade with reader.The simplest methods spreads on the several pages of equations ( with not very clear described subscriptions, honestly saying). There is no attempt to clear things, so maybe it would be good for very-very-very thin layer of audience, who prefer this kind of stuff."
,5.0 out of 5 stars,Nice book..
,5.0 out of 5 stars,What impressed me most is the clear and easy way it explains the different Data science and ML concepts and how it can be easily done in Python. It takes you from the basics and goes deep into advanced topics and covers a wide spectrum of topics. It also goes deep into specifics of each topic. It is also concise and not at all overwhelming. Manaranjan Pradhan and Prof. Dinesh Kumar have come out with an essential book .for any ML enthusiast
,5.0 out of 5 stars,"Start with this book to understand the Machine Learning concepts in-depth and also be able to code them in Python. The book will help you build strong statistics foundation for better understanding the ML concepts instead of just rote learning. The book explains the concept very well, especially keeping the beginners in mind.The case-study based approach helps in understanding the application of the theoretical ML concepts taught. The approach in the book helps very much in the “learning and applying” cycle.PS: Do not forget to download the data and code from Wiley website 😊PPS: Retyping the code instead of copy pasting helps in learning better 😉"
,5.0 out of 5 stars,The book covers all important topics in machine learning including advanced concepts such as regularization (ridge and LASSO regression) using real data sets.  Highly recommended for students and practitioners.
,5.0 out of 5 stars,Had a n opportunity to meet the author today. He understands the crux of ML and the rhythm of the audiences. Ordered one after hearing his insights on ML.
,5.0 out of 5 stars,This is a must have book for all the data science enthusiasts. step by step guide to all the important concepts of analytics along with some good examples of real world case studies.
,1.0 out of 5 stars,total waste of money book is not in good condition. total waste . the few pages are missing.not to buy
,5.0 out of 5 stars,"Excellent book for beginners, superb explained concepts."
,5.0 out of 5 stars,Content is well explained covering all the ML required topics for a learner
,5.0 out of 5 stars,"As a person who was proficient in python and had played around with sklearn, this book helped me turn a hobby into a functional product with paying customers. Andreas is not only an expert in the field, and one of the core developers of sklearn, but he also has a great knack for explaining concepts in a simple and intuitive way. The reviews about the code examples is missing the forest for the trees. It's really the simple yet practical explanations of concepts such as implementing grid search, pipelines, cross validation, etc... that makes this book valuable. While some of this information is available via the online documentation, Andreas perspective on putting it all together is well worth the read.Highly recommend for anyone who wants to get into applied machine learning or is using sklearn."
,5.0 out of 5 stars,"Very well written and understandable introduction, covering a broad range of topics. Excellent reference book."
,1.0 out of 5 stars,"Echoing previous statements, lots of examples use the mglearn module. However, you cannot import this using Jupyter notebook. I asked a friend who's a PhD in Data Science and he's never heard of this module. Skip this book."
,5.0 out of 5 stars,A very helpful book for beginners.
,5.0 out of 5 stars,Intriguing topic -- easy reading with lots of samples.
,5.0 out of 5 stars,A practical and to-the-point introduction to many Machine Learning Algorithms and their applications.Andreas responds to the issues and pull requests on the book's github repo same day.
,3.0 out of 5 stars,"Good content but a bit disappointing that the book is in black and white. If you purchase the pdf from O'Reilly, it looks much better."
,5.0 out of 5 stars,Very helpful reference.
,5.0 out of 5 stars,Excellent book; timely and up to date.
,5.0 out of 5 stars,Concepts are explained very well
,5.0 out of 5 stars,This is the best demystification of Spark I've found. Well worth reading. Explanation are really superb.
,5.0 out of 5 stars,"Me parece un buen libro introductor al framework, sobre todo porque hasta el momento de esta reseña es de los únicos que tiene contenido actualizado a la versión 3.0 de Spark. Me ayudó mucho a pasar la certificación de Databricks en conjunto con el libro ""Spark: The Definitive Guide: Big Data Processing Made Simple"".Lo recomiendo."
,3.0 out of 5 stars,"Buen libro como complemento de “Spark The Definitive Guide”, que para no es la referencia principal. Este libro da una versión resumida del que acabo de comentar con unos cuantos ejercicios adicionales que pueden ser bastante útiles para la comprensión de la teoría."
,5.0 out of 5 stars,Highly recommend this book for beginners looking to get into Spark programming. Examples are shown with both Python and Scala. I found the authors writing style extremely pleasant. Being a technical book the explanations were very easy to follow. Complicated technical terms are explained in very simple english.I have the kindle edition and noticed that the formulas on one of the pages on machine learning was slightly cutoff at the edges but I wont remove a star because of that. In my view there are tons of material online to understand those regression formulas. What really worked for me is how great a job the authors have done in explaining how to use Spark 3.0.Since I am a Python and SQL user this book really benefits me at work. The syntax and function explains are very clear and with an online Databricks account one can really practice as you learn with an uncomplicated dataset. How to program the Dataframe API is really well covered.
,5.0 out of 5 stars,"aún no termino de leerlo, pero lo que llevo, es bueno, como no conozco nada del framework, es excelente para iniciar"
,5.0 out of 5 stars,Great book to start learning Spark. Really easy to read and make sense of. Github repo is helpful. I would be even better to have more example code.
,5.0 out of 5 stars,If you want to learn Spark 3.x+ this book is for you. Easy to read and with practical examples. Recommend it!
,5.0 out of 5 stars,good print
,5.0 out of 5 stars,"It was easy to follow the book. The setup of Spark shell was also clearly written. I also find the instructions online to install spark locally to be sufficient as well. The book is well organized to delineate different components of Spark, e.g. intro, structured api, streaming, optimizations, data lake, ml deployment options. While ML deployment needs for individual business use cases are highly specific, I find the overview deployment framework provided by the book to be helpful. I also liked that the book uses screenshots of Spark UI and arrows to point in the screenshots to explain the UI, since the UI can be hard to understand. The code samples and the graphics in other sections are useful as well. There’s also coverage on how to connect to different apps, like beeline (which I’ve never heard of), tableau, thrift. Overall, the book contains solid information on the inner workings of Spark. I would recommend giving this book a read!"
,1.0 out of 5 stars,"The rating is not for the content of the book. The content is excellent and Eben Upton is very good teacher (apart from a good designer of R-Pi).The book I bought cost me Rs 1700 + and written that it is printed / manufactured in USA. However it is fake. The prints (or xerox?) are uneven when you read from page to page and some cases it is so light print (or xerox?) that it is very difficult to read without pain in your eyes. So, my suggestion, do not buy print copy from India at this price (if it is Rs 500 then it is okey). You can buy the Kindle edition or print copy from International distributors."
,1.0 out of 5 stars,This book is copy past book from internet sources.Nothing is new. Not written in an organized way.
,2.0 out of 5 stars,"I am not a native speaker, therefore I am cautious to judge the quality of English in this book. I can only state that I was not able to understand it. I stopped reading after a few pages and wrote the money invested off."
,1.0 out of 5 stars,The book is much less than expected. The print is not clear. The paper is of low quality. And the content is a mess; looks like a copy from online guidelines. Not worth the money.
,2.0 out of 5 stars,"There are many little mistakes in the MATLAB code.And it is hard to distinguish the detail of Figs, because the Figs in the bookare printed black and white while the markers or linesare depicted color in the MATLAB code.In addition, most of Figs are blurred."
,2.0 out of 5 stars,"I purchased this book based on a quick skimming of the table of contents.  That was my fault for not looking in a little more detail.  The chapters sounded very much like what I was looking for, but the English is so broken and grammar so poor, that I find it very difficult to understand.  In some cases, you can get the meaning from the context, but this is too annoying and a waste of time."
,3.0 out of 5 stars,"The book shows clear steps to implement Deep learning algorithms with MATLAB. However, it doesn't have enough mathematical/theory to explain each algorithm in details."
,3.0 out of 5 stars,"It was a bit of a mixed bag. Opening chapter very much ""isn't the raspberry cool, aren't we cool""; not really what I expect from a technical book.The book has several authors, and it shows. They need a tougher editor. It read as if they hadn't compared notes. Repetition, assumptions that you knew stuff that hadn't been explained. As if a bunch of weblogs had been glued together.Nevertheless it was enertaining and educational.Not sure it taught me anything about computer architecture though."
,4.0 out of 5 stars,"I bought this book as a beginner's guide to computer architecture. I don't have a Raspberry Pi so I skipped over the parts that related specifically to that. You definitely don't need one to enjoy the book.Overall, it's a solid introduction to the subject. The earlier chapters in particular are very well written: clear, accurate and friendly. Some later chapters are weaker - especially the one on GPUs (too advanced for this book) and the one on audio (light on detail and full of irrelevant content).If you're willing to skip over the less-good parts - and perhaps supplement your knowledge with other materials - this book is a decent and enjoyable primer, particularly to the core concepts of processors, memory and storage."
,5.0 out of 5 stars,"I'm shocked that there haven't been any other reviews for this yet - I can only assume it's because everyone who's bought it has been glued to the pages and far too engrossed to do anything else!Written by a who's who of authors, this book runs through everything you could ever want to know (and a lot that you didn't know you wanted to know) about your raspberry pi - from the chips on the board and the instructions that control them, to the software that runs on top of the hardware and opens up the wonderful architecture to experimentation!This book is far removed from a dry hard slog - yes, it's a technical book, however given the subject matter and the broad scope of the book, it could very well have gone down the academic route and been another dusty reference to dip in to for esoteric information. Luckily it carries with it (unsurprisingly, given one of the authors) the same ethos as the raspberry foundation - one that encourages exploration and learning, not just for learning's sake, but also for fun and experimentation.I love this book and recommend it highly to anyone wanting to know more about their little board - it's definitely a wonderful resource and gives a great grounding for those of us coming to computer science from other fields of study... and for those of us that like to see things that flash, make noise and cause us to stare in disbelief and absolute joy at when a project comes together.The book's only flaw is that the name of the man who has been bringing assembly language to the masses for nearly 30 years (Mr. Jeff Duntemann) has his name misspelled in places. However I think if you're the type to concentrate on problems rather than solutions, this book isn't for you, and neither is the raspberry pi.To summarise - Great Book. Buy It."
,5.0 out of 5 stars,"Having worked in IT since the 1970s this book is a great walk through how the technology has evolved over the decades (yes - I remember paper tape and punched cards!) It also provides a great insight into how clever modern technology is and what actually happens when you use SD cards, Wifi etc. and how cache memory and multiple processors work together to speed things upA great review of the evolution of computer technology as well as providing an explanation of the current state of the technology. Relating it all back to what the Raspberry Pi delivers (at such low cost) really illustrates what great value current technology deliversI highly recommend this to students planning to study computer architecture and anyone curious to know how computers actually work"
,5.0 out of 5 stars,"Content covers Computer Architecture in relevant detail, applying the simplicity of the Raspberry Pi"
,5.0 out of 5 stars,Excellent gift arrived on time
,5.0 out of 5 stars,"Eben Upton, co-criador do Projeto Raspberry Pi, nos brinda com um livro em que descreve tanto os detalhes técnicos do microprocessador em si, quanto dos aspectos históricos e motivacionais, que levaram o grupo da Universidade Cambridge a criar esse projeto.Dessa forma, para iniciantes no mundo dos microprocessadores serve para conhecer a evolução da tecnologia dos microprocessadores desde o seus primórdios na década de 1960 coma tecnologia INTEL até os dias atuais em que a tecnologia ARM emergiu como protagonista nos dispositivos portáteis, que estão definindo os rumos da microcomputação.Para veteranos que acompanharam a (r)evolução dos microprocessadores, o livro fornece detalhes técnicos úteis para entender o porquê e como a tecnologia evoluiu para o rumo atual."
,4.0 out of 5 stars,"Ce livre présente clairement les bases anciennes et récentes de l'architecture des ordinateurs. Son niveau est tout à fait accessible, même pour les novices (toutefois, un petit niveau d'anglais est nécessaire !). Son auteur étant l'un des créateurs du Raspberry Pi, pas étonnant qu'il prêche pour sa paroisse, mais en fait, cet ordinateur n'est pas omniprésent et l'ouvrage pourrait être illustré par n'importe quel matériel équivalent (ou même aucun) sans qu'il y ait beaucoup de texte à changer. Ceux que le sujet passionne resteront peut-être un peu sur leur faim, ce qui les motivera à aller plus loin."
,5.0 out of 5 stars,Muy buen libro para entender el bajo nivel a grandes rasgos de una computadora.
,4.0 out of 5 stars,"According to the author, artificial intelligence (AI) has come to stay and it can only get better. This informative book features a variety of detailed sections, including:1) AI in Healthcare2) AI & Machine Learning Simplified3) Ethics of AI in Healthcare4) Implementation of AI into Clinical Practice5) AI in the Fight Against COVD-19 and Drug Discovery & Development6) AI in Electronic Health Records, Health Insurance, & Medical Education7) AI in Genomic & Precision Medicine & Virtual Assitance & Helpdesks8) Present State & Future of AI in Major Healthcare Specialities (as it applies to 31 specialties from Anesthesiology to Veterinary Medicine)9) A Review of Some of the Advances of Technologies & the Implications for Medical Applications10) The Role of Major Corporations in AI in Healthcare11) The Role of Start-Up Companies in AI in HealthcareAccording to the author, Doctor Parag Mahajan, in the healthcare sector, the use of AI presents many organizations with numerous exciting opportunities. It should be looked upon as a way to support medical institutitions rather than as a threat to human employment in healthcare.Doctor Mahajan predicts that AI in healthcare will especially develop:1) For the care and management of chronic diseases2) To increase the availability of health data of patients3) To better understand environmental and socio-economic facets of medicine4) To increase precision medicine & to integrate genetic information with care managementThis book is organized in such a way that the reader can find a particular section quite easily. Includes many real-life examples of artificial intelligence applied in modern medicine.I welcome a section to be added about how institutions of higher learning & university hospitals are giving instruction about artificial intelligence (as it applies to healthcare) to their current medical students. Perhaps highlight what cutting-edge teaching hospitals like Duke University Hospital and Johns Hopkins University Hospital are doing as it relates to AI in healthcare."
,5.0 out of 5 stars,Gives you a good guidance on where to start.
,5.0 out of 5 stars,This will be the greatest reference for the one who is going to start machine learning with the basic knowledge of pentest. I recommend this book for all. Great work from Chiheb Chebbi.
,5.0 out of 5 stars,He does a good job for beginners--great book. He also helps you see that machine learning and AI are not magic and in many cases not so useful. The book does help one get what machine learning (not really learning--just filtering) really is about.
,4.0 out of 5 stars,"I purchased this book because my daughter is looking at a career in Biomedical Engineering, and I have a software background. The text seems very thorough and provides extensive coverage on the topic. The claim that this book is “For everybody” isn’t quite accurate because the intro alone has a Gunning-Fog reading grade level of 19.5, which means it’s aimed at people who already have their master’s degree.Other than section two chapter one, it was immaculate. That 52 page chapter needed some work.It’s inappropriate to mock the 65 percent appeal rate using an AI without researching that the success rate without one in London is 31 percent. Science requires a control group for valid comparison.Chapter numbering should continue to increase across sections instead of resetting to one for each of the thirteen sections or having no chapter ID when there was only one in the section.You need real-world examples starting at Unsupervised Machine learning. The training-set image is pointless without a corresponding filtered result. You also need a concrete example in reinforced learning, regression analysis, etc. even if they come from economics (such as hyperplanes being used by car insurance companies to set premiums, denial conditions, and deductibles that maximize profit). LVQ was very muddy, and I have patents on supercomputer optimization. ANN has to have a real-world anchor like the traveling salesman problem for students to grasp it.Your term TPU is never defined."
,5.0 out of 5 stars,"Dr. Parag Mahajan delivers an exhaustive reference work detailing the role of AI/Machine Learning/Deep Learning in medicine. AI has been around  and in use for some time already. Having a medical background I was already aware of some of these uses and had not always looked upon AI favorably. However, as giant technological advancements have been made, it truly is awe-inspiring to contemplate what a valuable tool it really is in being able to improve our lives and those of whom we serve. This book opened my eyes to the positive strides that have been made and will continue to be made.I loved the breakdown of various medical disciplines in Section 8 (but if it had been in alphabetical order I would've liked it better). Also, as many have commented on, looking at AI in view of the current pandemic is a great way to get a look at AI in practical application in terms we can relate to.Another great discussion was Section 6, Chapter 4 - AI in Medical Education. Unfortunately it seems to be the way of things that education is often the last arena to be brought up to speed. I'm glad to see the issue addressed here. Section 10 is yet another captivating section centering on specific corporations and their efforts into medical AI.Although so much information could quickly become overwhelming, Dr. Mahajan delivers it in such an engaging manner that is understandable. Neither was I lost in the information, nor did I feel it patronizing. I found myself not wanting to put it down! Highly recommend this book!"
,5.0 out of 5 stars,"I'm not a doctor; I'm an artist. But Artificial Intelligence has come into the field of graphic design with a vengeance— Adobe, for instance, is constantly developing new features powered by the kind of iterative machine learning described here— and so this book caught my interest. It also helps that I have family members in the medical field (including one who is an engineer designing surgery robots).Whenever I read a non-fiction book I compare it to the excellent ""Lore of Running"" by Timothy Noakes, M.D., which is indeed a book about running— but it begins with a detailed discussion of energy transport in muscle cells and builds from there until it has covered every aspect of the topic: history, practical advice and a look toward the future.This book comes out very favorably in that comparison! Dr. Mahajan has covered the topic beginning with explanations of AI for laymen like me, carrying on through ethical concerns, mythbusting and finally a granular breakdown of the current and potential state of AI in every imaginable field from nutrition to veterinary medicine. As I see that this is the third edition, it's also good to know that the work is kept up to date. An ambitious effort, well carried out."
,3.0 out of 5 stars,"One can’t deny what was put into this book. The author does his very best to stay objective, clearly stating upsides and pitfalls to the serious infiltration of AI in healthcare. There’s data and facts galore, so be prepared to soak all that in.I’ve worked in a hospital for nearly 20 years, having firsthand experience with the direction things appear to be going. I suppose this book will differ from person to person, depending on what occupation they have and their moral or ethical foundations.The book definitely makes you think, whether opening the floodgates of AI in medicine is good or bad for the human condition. I suppose it is advantageous—to a point, but what is the endgame to such a point? How far can and will it go? At what cost?I don’t think anyone human can accurately answer such questions…"
,5.0 out of 5 stars,"As a former nurse, I was drawn to read this book to discover what changes and advances are being made in the field of medicine. The possibilties are endless in every single field of medicine. AI doesn’t frighten me. I’ve seen first hand what human error can do in the medical field. Our cars are heading the same way with automated driving that can predict situations and react faster than a human being. The author presents comprehensive data as to how AI is being used and can be used in so many different areas of medicine. It’s biggest challenge may be the one he mentions early in the book - human connection and the fact that only 7% of our communication is verbal with the other 93% being visual/physical.A very in-depth book. I think many in the medical field will find it fascinating reading."
,5.0 out of 5 stars,"AI, Machine Learning and Deep & Intelligent Medicine Simplified for EveryoneThe future can be difficult to predict. But one thing that's certain is the ever-changing world of technology continues to advance at a pace we may not always understand or even like. Nowhere else is it advancing faster than in the health sector where Artificial Intelligence (AI) has already improved millions of lives!In this book you will learn about some great improvements made by artificial intelligence with chapters covering all aspects including how machine learning works differently from deep learning; what exactly neural networks are doing behind closed doors; why was Google so excited when they built their first complete self-driving car model? And much more..."
,5.0 out of 5 stars,"I found this book really very informative and useful. I had all sorts of notions as to what AI did and can do but I was surprised to find out the facts and how it has been implemented into our health system.The book is well written and formatted, the grammar is good and it is written in a style that is easy to understand and retain information.I liked that the book has been written in a way that really breaks down the subject and that the concepts are also presented in a way that informs and then educates around the subject. It's not written so that you are expected to have some knowledge of the subject first even though the subject is niche.AI is simply incredible and what is happening right now in health care with these new tools is astonishing. This is a fascinating book and an eye opening experince."
,4.0 out of 5 stars,"This book is an encyclopedia of artifical intelligence. Many parts of the book are only of interest, or of use, to particular audiences, for example, the math algorithm section could only be understood by math majors, and the discussion of medical specialty areas may only be of interest to those with that specialty.My main criticism of the book is that the reader , after reading the book, may wish to implement an AI system without understanding the associated problems. The author overemphasized solutions over problems. These problems include1. Big Data from medical records has problems which makes making medical decisions from it difficult.2. Not knowing how an AI system makes decisions may cause healthcare personnel to accept results when the input is flawed.3. AI used by a general audience may cause overtreatment.Point 1: Big Data from medical record has preliminary diagnoses, inconstent data, and may not have or properly recognize outcomes making medical decisions based on the data difficult. For more information, see the book, ""A Blueprint for Medicine.""Point 2 example: A machine I used at night to determine sleep apnea put a sensor on my chest. I accidently put my phone, playing music, on the sensor. Even told of this, the medical organization used the computer generated results anyway, as no one knew how to correct it.Point 3 example: Apple has a watch that looks for a Fibs. Can finding a single a Fib result in overtreatment by a physician, for example, overuse of a blood thinner?"
,5.0 out of 5 stars,"In today’s crazy world, we are facing a real shortage of qualified healthcare professionals. I’ve heard friend who are healthcare workers say that healthcare data management is overwhelming to such a degree that they’re literally unable to fully review, correctly diagnose and provide timely treatment. This books detailed how innovative analytical technologies that address this problem is readily available but not fully utilized. Artificial Intelligence in Healthcare: AI, Machine Learning, and Deep and Intelligent Medicine Simplified for Everyone outlines exactly how healthcare professionals can be supported using artificial intelligence."
